epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2489.82,1.02008,0.7386,1.21474,0.85462,0.83956,0.88529,0.59825,1.25985,0.65592,1.34479,0.0014832,0.0014832,0.0014832
57,2625.42,1.01994,0.72734,1.2135,0.85356,0.84064,0.88604,0.59857,1.25882,0.65338,1.34423,0.00147744,0.00147744,0.00147744
58,2762.33,1.01766,0.73626,1.21284,0.85149,0.842,0.88613,0.59902,1.2586,0.65173,1.34382,0.00147168,0.00147168,0.00147168
59,2900.42,1.01795,0.73194,1.20901,0.85401,0.8416,0.8875,0.59927,1.25856,0.64991,1.34419,0.00146592,0.00146592,0.00146592
60,3038.48,1.01947,0.73491,1.21281,0.85256,0.84331,0.88754,0.60018,1.25757,0.64856,1.34333,0.00146016,0.00146016,0.00146016
61,3174.32,1.00809,0.72238,1.207,0.85481,0.84111,0.88723,0.59988,1.25664,0.64794,1.34365,0.0014544,0.0014544,0.0014544
62,3309.83,1.01286,0.72376,1.20534,0.85821,0.83938,0.8874,0.59994,1.25523,0.64502,1.34228,0.00144864,0.00144864,0.00144864
63,3445.96,1.00743,0.72777,1.20342,0.86092,0.83769,0.88774,0.60081,1.25487,0.64457,1.34236,0.00144288,0.00144288,0.00144288
64,3584.61,1.01304,0.73053,1.2081,0.86375,0.8365,0.88728,0.60056,1.25434,0.64292,1.34197,0.00143712,0.00143712,0.00143712
65,3723.14,1.01019,0.73271,1.20957,0.85861,0.84,0.88706,0.60178,1.25333,0.6421,1.34101,0.00143136,0.00143136,0.00143136
66,3871.84,1.01135,0.71849,1.20616,0.86095,0.84145,0.88815,0.60164,1.25335,0.64079,1.34112,0.0014256,0.0014256,0.0014256
67,4014.61,1.0049,0.7137,1.20111,0.86381,0.83842,0.88768,0.60199,1.25267,0.64073,1.34053,0.00141984,0.00141984,0.00141984
68,4151.69,0.99793,0.70906,1.19753,0.8633,0.84179,0.88802,0.6024,1.25162,0.64012,1.33982,0.00141408,0.00141408,0.00141408
69,4286.72,0.99885,0.71191,1.19948,0.86286,0.84261,0.88816,0.60272,1.25121,0.63962,1.33925,0.00140832,0.00140832,0.00140832
70,4422.42,0.99249,0.70612,1.19565,0.86267,0.84378,0.88787,0.60274,1.25084,0.63855,1.33853,0.00140256,0.00140256,0.00140256
71,4557.85,1.00377,0.70677,1.20272,0.86279,0.84388,0.8874,0.60303,1.25045,0.63826,1.33836,0.0013968,0.0013968,0.0013968
72,4692.74,0.99539,0.70404,1.19535,0.86167,0.84427,0.8882,0.60344,1.25023,0.63702,1.33824,0.00139104,0.00139104,0.00139104
73,4827.85,0.9969,0.71162,1.19835,0.86315,0.84403,0.88858,0.60379,1.24957,0.63601,1.33813,0.00138528,0.00138528,0.00138528
74,4965.33,0.99882,0.71113,1.19861,0.86338,0.84523,0.88954,0.60418,1.24898,0.63493,1.33732,0.00137952,0.00137952,0.00137952
75,5101.63,0.99418,0.70232,1.19634,0.86233,0.84581,0.88914,0.60429,1.24878,0.63402,1.33732,0.00137376,0.00137376,0.00137376
